ID,ANO,MUNICIPIO,COD_CURSO,NOME_CURSO,CENTRO,CPC_ANTIGO,NC,NIDD,NM,ND,NR,NO,NF,NA,CPC2013
92,2014,SANTA MARIA,1501,QUÍMICA (BACHARELADO),CCNE,"3,38",3.68,3.10,3.76,4.04,5.00,2.04,1.61,2.52,"3,42"
93,2014,SANTA MARIA,1502,QUÍMICA (LICENCIATURA),CCNE,"3,3",3.52,2.62,4.63,3.78,5.00,2.23,2.79,3.29,"3,37"
94,2014,SANTA MARIA,1601,CIÊNCIAS BIOLÓGICAS (BACHARELADO),CCNE,"3,28",3.08,2.45,5.00,5.00,5.00,1.76,2.00,2.92,"3,33"
95,2014,SANTA MARIA,1602,CIÊNCIAS BIOLÓGICAS (LICENCIATURA),CCNE,"3,02",3.47,1.76,5.00,5.00,5.00,0.54,1.86,2.90,"3,06"
96,2014,PALMEIRA DAS MISSOES,1602,CIÊNCIAS BIOLÓGICAS (LICENCIATURA),CESNORS PM,"3,26",2.90,2.96,4.00,3.13,5.00,3.34,3.41,3.34,"3,35"
97,2014,SANTA MARIA,2001,PEDAGOGIA (LICENCIATURA),CE,"3,13",3.20,2.94,4.43,3.25,5.00,0.85,2.92,2.37,"3,2"
98,2014,SANTA MARIA,2402,HISTÓRIA (LICENCIATURA),CCSH,"3,4",3.91,3.14,4.80,3.60,5.00,1.23,2.24,1.77,"3,46"
99,2014,SANTA MARIA,2501,ARTES VISUAIS (LICENCIATURA),CAL,"3,75",2.91,4.85,5.00,2.83,5.00,2.16,1.54,2.25,"3,79"
100,2014,SANTA MARIA,3002,GEOGRAFIA (LICENCIATURA),CCNE,"3,23",3.15,2.69,4.67,4.34,5.00,1.34,2.21,2.70,"3,28"
101,2014,SANTA MARIA,3201,FILOSOFIA (BACHARELADO),CCSH,"4,43",4.21,5.00,5.00,4.71,5.00,2.42,3.14,1.85,"4,51"
102,2014,SANTA MARIA,3202,FILOSOFIA (LICENCIATURA),CCSH,"3,6",4.46,2.92,4.47,4.21,5.00,1.65,3.22,2.49,"3,68"
103,2014,SANTA MARIA,3502,EDUCAÇÃO FÍSICA (LICENCIATURA),CEFD,"2,74",3.40,2.00,4.85,3.54,5.00,0.00,0.77,2.00,"2,76"
104,2014,SANTA MARIA,4004,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),CT,"3,28",3.25,2.97,4.00,3.56,5.00,2.02,2.76,3.44,"3,34"
105,2014,SANTA MARIA,4006,SISTEMAS DE INFORMAÇÃO,CT,"3,46",4.13,3.06,4.14,3.83,5.00,1.73,2.02,2.59,"3,51"
106,2014,SANTA MARIA,4301,MÚSICA (LICENCIATURA),CAL,"3,19",3.31,3.90,3.56,2.00,5.00,1.10,1.97,1.61,"3,24"
107,2014,SANTA MARIA,5401,CIÊNCIAS SOCIAIS (BACHARELADO),CAL,"3,14",2.70,2.54,4.14,3.76,5.00,2.86,3.37,3.14,"3,22"
108,2014,SANTA MARIA,5710,ENGENHARIA CIVIL,CCSH,"3,53",3.77,3.69,3.80,3.26,5.00,1.77,2.63,2.98,"3,6"
109,2014,SANTA MARIA,5806,ENGENHARIA ELÉTRICA,CT,"3,23",3.09,3.09,4.09,3.72,5.00,1.29,2.40,3.16,"3,29"
110,2014,SANTA MARIA,5809,ENGENHARIA DE COMPUTAÇÃO,CT,"3,01",3.22,2.14,4.23,3.81,5.00,1.80,2.70,3.23,"3,07"
111,2014,SANTA MARIA,5814,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,CT,"4,28",4.65,5.00,3.90,3.54,5.00,2.44,2.77,3.36,"4,35"
112,2014,SANTA MARIA,5902,ENGENHARIA MECÂNICA,CT,"3,28",3.85,3.32,3.43,2.83,5.00,1.56,2.09,2.99,"3,33"
113,2014,SANTA MARIA,6008,ENGENHARIA QUÍMICA,CT,"2,88",3.46,2.35,3.43,3.00,5.00,1.08,2.77,2.41,"2,94"
114,2014,FREDERICO WESTPHALEN,6307,ENGENHARIA AMBIENTAL,CESNORS FW,"3,15",2.76,3.25,3.37,3.75,5.00,1.69,1.66,2.19,"3,19"
115,2014,SANTA MARIA,6307,ENGENHARIA AMBIENTAL,CT,"4,42",4.26,5.00,4.82,3.60,5.00,3.48,3.69,3.97,"4,52"
116,2014,SANTA MARIA,6405,ENGENHARIA FLORESTAL,CCR,"2,81",3.18,1.57,4.44,4.03,5.00,1.76,2.72,2.06,"2,88"
117,2014,FREDERICO WESTPHALEN,6405,ENGENHARIA FLORESTAL,CESNORS FW,"3,06",3.26,1.85,4.12,4.39,5.00,2.82,3.02,2.26,"3,14"
