campus,area,codigo_curso,uf,municipio
CAMPUS  - SANTA MARIA - CAMOBI,AGRONOMIA,17,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,AGRONOMIA,17,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ALIMENTOS,0,RS,Pejuçara
CAMPUS  - SANTA MARIA - CAMOBI,ALIMENTOS,0,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ALIMENTOS,0,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ALIMENTOS,0,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ALIMENTOS,0,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ALIMENTOS,0,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ALIMENTOS,0,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ALIMENTOS,0,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ALIMENTOS,0,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ALIMENTOS,0,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ALIMENTOS,0,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ALIMENTOS,0,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ALIMENTOS,0,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ALIMENTOS,0,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ALIMENTOS,0,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ALIMENTOS,0,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ARQUITETURA E URBANISMO,21,RS,Restinga Seca
CAMPUS  - SANTA MARIA - CAMOBI,ARQUITETURA E URBANISMO,21,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ARQUITETURA E URBANISMO,21,SP,São Paulo
CAMPUS  - SANTA MARIA - CAMOBI,ARQUITETURA E URBANISMO,21,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ARQUITETURA E URBANISMO,21,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ARQUITETURA E URBANISMO,21,RS,São Gabriel
CAMPUS  - SANTA MARIA - CAMOBI,ARQUITETURA E URBANISMO,21,RS,Porto Alegre
CAMPUS  - SANTA MARIA - CAMOBI,ARQUITETURA E URBANISMO,21,RS,Ibirubá
CAMPUS  - SANTA MARIA - CAMOBI,ARQUITETURA E URBANISMO,21,RS,Faxinal do Soturno
CAMPUS  - SANTA MARIA - CAMOBI,ARQUITETURA E URBANISMO,21,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ARQUITETURA E URBANISMO,21,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ARQUIVOLOGIA,65,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ARQUIVOLOGIA,65,MS,Campo Grande
CAMPUS  - SANTA MARIA - CAMOBI,ARQUIVOLOGIA,65,RS,São Pedro do Sul
CAMPUS  - SANTA MARIA - CAMOBI,ARQUIVOLOGIA,65,RS,Santa Maria
