AREA,UF,REGIAO,ANO,CPCCONTINUO,NOTACONCLUINTES,NOTAPADRONIZADAIDD,NOTAPADRONIZADAMESTRES,NOTAPADRONIZADADOUTORES,NOMEIES,SIGLAIES,PUB_PRIV,CATADMINISTRATIVA,ORGACADEMICA,MUNICIPIOCURSO,NOTAPADRONIZADADREGIME,NOTAPADRONIZADAPEDAG,CPC_FAIXA,NOTAPADRONIZADAINFRA,INGRESSANTESPARTICIPANTES,INGRESSANTESINSCRITOS,COD_AREA,COD_IES,AMPLIACAOFORMACAO_NA,CPC_FORMULA2013
ADMINISTRAÇÃO,SP,0,2012,2.21,2.30,2.42,3.93,1.95,CENTRO UNIVERSITÁRIO FUNDAÇÃO SANTO ANDRÉ,CUFSA,Privada,Centro Universitário,SANTO ANDRE,0.41,1.66,3.00,2.15,237,439,1,3547809,2183,1.86,2.21
ADMINISTRAÇÃO,SP,0,2012,3.25,3.41,3.52,4.64,2.00,CENTRO UNIVERSITÁRIO MOURA LACERDA,CUML,Privada,Centro Universitário,RIBEIRAO PRETO,2.68,2.94,4.00,3.63,99,221,1,3543402,207,3.22,3.24
ADMINISTRAÇÃO,PR,1,2012,1.41,1.58,1.38,1.76,0.00,FACULDADE DOM BOSCO DE UBIRATÃ,DOM BOSCO UBIRATÃ,Privada,Faculdade,UBIRATA,2.65,1.32,2.00,2.43,12,29,1,4128005,1801,1.76,1.40
ADMINISTRAÇÃO,SP,0,2012,2.55,2.28,2.88,1.58,0.74,FACULDADES INTEGRADAS DOM PEDRO II,DOMPEDRO,Privada,Faculdade,SAO JOSE DO RIO PRETO,1.84,4.62,3.00,5.00,5,23,1,3549805,3753,4.77,2.54
ADMINISTRAÇÃO,RJ,0,2012,4.62,4.86,4.34,4.89,5.00,ESCOLA BRASILEIRA DE ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS,EBAPE,Privada,Faculdade,RIO DE JANEIRO,4.15,4.38,5.00,4.93,41,50,1,3304557,1851,4.60,4.61
ADMINISTRAÇÃO,MT,0,2012,3.13,1.65,2.98,3.57,2.50,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DO VALE DO SÃO LOURENÇO,EDUVALE,Privada,Faculdade,JACIARA,5.00,4.80,4.00,5.00,18,36,1,5104807,796,4.88,3.12
ADMINISTRAÇÃO,SP,0,2012,3.05,3.25,3.43,2.35,1.24,FACULDADE EDUVALE DE AVARÉ,EDUVALE,Privada,Faculdade,AVARE,2.65,3.46,4.00,5.00,15,42,1,3504503,1322,4.08,3.02
ADMINISTRAÇÃO,SP,0,2012,1.93,1.35,1.28,4.76,3.00,ESCOLA DE ENGENHARIA DE PIRACICABA,EEP/FUMEP,Pública,Faculdade,PIRACICABA,0.48,2.37,2.00,2.52,31,65,1,3538709,67,2.43,1.93
ADMINISTRAÇÃO,MG,0,2012,3.84,4.91,2.75,4.89,4.11,ESCOLA DE GOVERNO PROFESSOR PAULO NEVES DE CARVALHO,EG,Pública,Faculdade,BELO HORIZONTE,4.35,4.05,4.00,3.79,67,71,1,3106200,890,3.95,3.85
ADMINISTRAÇÃO,SP,0,2012,2.58,1.69,1.97,5.00,2.90,FACULDADE ENIAC,ENIAC,Privada,Faculdade,GUARULHOS,3.10,2.35,3.00,4.45,100,322,1,3518800,1892,3.19,2.55
ADMINISTRAÇÃO,SP,0,2012,3.60,4.41,3.90,4.33,1.63,ESCOLA SUPERIOR DE ADMINISTRAÇÃO E GESTÃO,ESAGS,Privada,Faculdade,SANTO ANDRE,1.50,4.32,4.00,4.58,70,92,1,3547809,1723,4.43,3.59
ADMINISTRAÇÃO,SP,0,2012,4.13,4.83,5.00,4.52,1.67,ESCOLA SUPERIOR DE ADMINISTRAÇÃO E GESTÃO DA BAIXADA SANTISTA,ESAGS BS,Privada,Faculdade,SANTOS,1.43,4.52,5.00,5.00,24,33,1,3548500,4943,4.71,4.12
ADMINISTRAÇÃO,PA,0,2012,1.98,1.80,2.35,2.36,0.19,ESCOLA SUPERIOR DA AMAZÔNIA,ESAMAZ,Privada,Faculdade,BELEM,1.39,2.89,3.00,3.57,49,97,1,1501402,2745,3.17,1.97
ADMINISTRAÇÃO,MG,0,2012,3.29,3.35,2.92,4.46,3.25,FACULDADE ESAMC UBERLÂNDIA,ESAMC,Privada,Faculdade,UBERLANDIA,2.86,3.03,4.00,4.43,98,169,1,3170206,1468,3.59,3.27
ADMINISTRAÇÃO,SP,0,2012,2.78,3.33,2.74,3.62,1.04,FACULDADE ESAMC CAMPINAS,ESAMC,Privada,Faculdade,CAMPINAS,2.02,4.31,3.00,3.38,23,37,1,3509502,1386,3.94,2.79
ADMINISTRAÇÃO,SP,0,2012,2.77,3.44,2.97,2.11,0.55,FACULDADE ESAMC SOROCABA,ESAMC,Privada,Faculdade,SOROCABA,2.50,3.38,3.00,4.86,70,103,1,3552205,1561,3.97,2.75
ADMINISTRAÇÃO,AM,0,2012,2.81,1.76,2.29,3.78,3.22,ESCOLA SUPERIOR BATISTA DO AMAZONAS,ESBAM,Privada,Faculdade,MANAUS,4.32,3.48,3.00,4.11,55,167,1,1302603,1436,3.73,2.80
ADMINISTRAÇÃO,PR,1,2012,2.31,2.94,2.56,2.32,0.17,ESCOLA SUPERIOR DE GESTÃO COMERCIAL E MARKETING,ESIC,Privada,Faculdade,CURITIBA,0.61,3.36,3.00,4.43,54,121,1,4106902,1714,3.79,2.30
ADMINISTRAÇÃO,PE,0,2012,1.82,1.21,1.44,2.75,1.05,ESCOLA SUPERIOR DE MARKETING,ESM,Privada,Faculdade,RECIFE,3.00,2.59,2.00,3.92,26,59,1,2611606,1296,3.12,1.80
ADMINISTRAÇÃO,MG,0,2012,2.31,2.30,2.31,2.19,0.88,ESCOLA SUPERIOR EM MEIO AMBIENTE,ESMA,Privada,Faculdade,IGUATAMA,2.50,3.50,3.00,3.92,5,9,1,3130309,989,3.67,2.30
ADMINISTRAÇÃO,PA,0,2012,3.13,2.48,2.99,4.09,2.23,ESCOLA SUPERIOR MADRE CELESTE,ESMAC,Privada,Faculdade,ANANINDEUA,3.86,4.25,4.00,4.46,20,42,1,1500800,2350,4.33,3.12
ADMINISTRAÇÃO,MG,0,2012,2.57,2.28,1.59,4.44,3.89,FACULDADE DE NEGÓCIOS DE BELO HORIZONTE,ESN,Privada,Faculdade,BELO HORIZONTE,2.22,2.37,3.00,3.97,77,114,1,3106200,1668,3.01,2.55
ADMINISTRAÇÃO,RJ,0,2012,2.99,3.27,3.27,3.44,1.53,ESCOLA SUPERIOR NACIONAL DE SEGUROS,ESNS,Privada,Faculdade,RIO DE JANEIRO,1.41,3.05,4.00,5.00,10,63,1,3304557,3710,3.83,2.96
ADMINISTRAÇÃO,SP,0,2012,2.09,2.44,2.04,1.96,0.00,ESCOLA SUPERIOR PAULISTA DE ADMINISTRAÇÃO - ESPA,ESPA,Privada,Faculdade,GUARULHOS,2.14,3.03,3.00,4.65,59,127,1,3518800,4442,3.68,2.06
ADMINISTRAÇÃO,SP,0,2012,2.25,1.64,1.61,2.50,1.59,ESCOLA SUPERIOR DE TECNOLOGIA E EDUCAÇÃO DE PORTO FERREIRA,ESPF,Privada,Faculdade,PORTO FERREIRA,3.18,4.69,3.00,4.58,29,57,1,3540705,1692,4.65,2.25
ADMINISTRAÇÃO,SP,0,2012,2.47,2.49,1.10,4.25,2.81,ESCOLA SUPERIOR DE PROPAGANDA E MARKETING,ESPM,Privada,Faculdade,SAO PAULO,2.29,4.03,3.00,4.90,165,321,1,3550308,636,4.38,2.45
ADMINISTRAÇÃO,RJ,0,2012,2.07,2.27,0.82,3.97,1.85,ESCOLA SUPERIOR DE PROPAGANDA E MARKETING DO RIO DE JANEIRO,ESPM,Privada,Faculdade,RIO DE JANEIRO,1.03,4.10,3.00,4.86,48,70,1,3304557,944,4.41,2.06
ADMINISTRAÇÃO,RS,1,2012,3.39,3.46,2.67,5.00,2.82,ESCOLA SUPERIOR DE PROPAGANDA E MARKETING DE PORTO ALEGRE,ESPM - POA,Privada,Faculdade,PORTO ALEGRE,3.15,4.66,4.00,5.00,37,85,1,4314902,1327,4.80,3.38
ADMINISTRAÇÃO,SP,0,2012,2.52,1.86,2.29,3.65,2.15,ESCOLA SUPERIOR DE TECNOLOGIA E EDUCAÇÃO DE RIO CLARO,ESRC,Privada,Faculdade,RIO CLARO,3.27,3.36,3.00,3.41,20,56,1,3543907,1437,3.38,2.52
ADMINISTRAÇÃO,MA,0,2012,2.59,2.46,3.19,2.88,0.70,FACULDADE ESTÁCIO DE SÃO LUÍS,ESTÁCIO SÃO LUÍS,Privada,Faculdade,SAO LUIS,3.00,2.41,3.00,3.35,133,197,1,2111300,1590,2.79,2.57
ADMINISTRAÇÃO,SC,1,2012,2.09,2.35,2.35,1.90,0.14,ESCOLA SUPERIOR DE CRICIÚMA - ESUCRI,ESUCRI,Privada,Faculdade,CRICIUMA,0.30,3.89,3.00,4.28,86,398,1,4204608,1694,4.04,2.08
ADMINISTRAÇÃO,GO,0,2012,3.44,4.16,4.16,3.16,0.74,ESCOLA SUPERIOR ASSOCIADA DE GOIÂNIA,ESUP,Privada,Faculdade,GOIANIA,1.05,4.62,4.00,5.00,4,24,1,5208707,3607,4.77,3.43
ADMINISTRAÇÃO,SP,0,2012,2.65,2.69,2.54,3.08,1.35,FACULDADE DE TECNOLOGIA DE SÃO JOSÉ DOS CAMPOS,ETEP,Privada,Faculdade,SAO JOSE DOS CAMPOS,3.85,3.45,3.00,3.27,103,203,1,3549904,5669,3.38,2.66
ADMINISTRAÇÃO,SP,0,2012,2.37,1.88,2.15,2.94,2.06,Faculdade Estácio Euro- Panamericana de Humanidades e Tecnologias - Estácio EUROPAN,EUROPAN,Privada,Faculdade,COTIA,3.82,1.70,3.00,3.94,34,120,1,3513009,1457,2.60,2.33
ADMINISTRAÇÃO,SP,0,2012,2.69,2.03,2.48,3.33,1.87,FACULDADE INTEGRAL CANTAREIRA,F.I.C.,Privada,Faculdade,SAO PAULO,3.00,4.07,3.00,4.76,25,40,1,3550308,1190,4.35,2.68
ADMINISTRAÇÃO,ES,0,2012,2.89,3.10,3.40,1.60,0.56,FACULDADE VALE DO CRICARÉ,F.V.C.,Privada,Faculdade,SAO MATEUS,3.00,4.26,3.00,4.36,26,34,1,3204906,1514,4.30,2.89
ADMINISTRAÇÃO,BA,0,2012,2.41,2.37,2.32,2.89,0.37,FACULDADE DOIS DE JULHO,F2J,Privada,Faculdade,SALVADOR,1.84,4.48,3.00,5.00,15,54,1,2927408,1411,4.69,2.40
