ano,codies,nomeies,sigla,Publica,categoriaadm,orgacademica,uf,igc_continuo,igc_faixa
2013,1120,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE",IF Fluminense,1,Pública,"Instituto Federal de Educação, Ciência e Tecnologia",RJ,2.31,3
2013,527,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS,PUC GOIÁS,0,Privada,Universidade,GO,2.31,3
2013,457,UNIVERSIDADE ANHANGUERA DE SÃO PAULO - UNIAN-SP,UNIAN - SP,0,Privada,Universidade,SP,2.31,3
2013,669,UNIVERSIDADE NILTON LINS,UNINILTONLINS,0,Privada,Universidade,AM,2.28,3
2013,458,UNIVERSIDADE IBIRAPUERA,UNIB,0,Privada,Universidade,SP,2.28,3
2013,3183,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE",IFS,1,Pública,"Instituto Federal de Educação, Ciência e Tecnologia",SE,2.28,3
2013,47,UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,1,Pública,Universidade,GO,2.27,3
2013,15032,UNIVERSIDADE ALTO VALE DO RIO DO PEIXE,UNIARP,0,Privada,Universidade,SC,2.27,3
2013,605,UNIVERSIDADE MUNICIPAL DE SÃO CAETANO DO SUL,USCS,1,Pública,Universidade,SP,2.27,3
2013,519,UNIVERSIDADE CATÓLICA DO SALVADOR,UCSAL,0,Privada,Universidade,BA,2.24,3
2013,481,UNIVERSIDADE GUARULHOS,UNG,0,Privada,Universidade,SP,2.20,3
2013,513,UNIVERSIDADE VALE DO RIO DOCE,UNIVALE,0,Privada,Universidade,MG,2.14,3
2013,568,UNIVERSIDADE ESTADUAL DO MARANHÃO,UEMA,1,Pública,Universidade,MA,2.13,3
2013,375,UNIVERSIDADE DE SANTO AMARO,UNISA,0,Privada,Universidade,SP,2.12,3
2013,38,UNIVERSIDADE DO ESTADO DO PARÁ,UEPA,1,Pública,Universidade,PA,2.11,3
2013,666,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,UEFS,1,Pública,Universidade,BA,2.08,3
2013,176,UNIVERSIDADE CASTELO BRANCO,UCB,0,Privada,Universidade,RJ,2.08,3
2013,3161,"Instituto Federal de Educação, Ciência e Tecnologia do Sertão Pernambucano",,1,Pública,"Instituto Federal de Educação, Ciência e Tecnologia",PE,2.06,3
2013,3974,UNIVERSIDADE DE RIO VERDE,FESURV,1,Pública,Universidade,GO,2.05,3
2013,27,UNIVERSIDADE VALE DO RIO VERDE,UNINCOR,0,Privada,Universidade,MG,2.04,3
2013,5077,UNIVERSIDADE ESTADUAL DE RORAIMA,UERR,1,Pública,Universidade,RR,2.01,3
2013,308,UNIVERSIDADE PRESIDENTE ANTÔNIO CARLOS,UNIPAC,0,Privada,Universidade,MG,1.96,3
2013,1153,UNIVERSIDADE CÂNDIDO MENDES,UCAM,0,Privada,Universidade,RJ,1.94,2
2013,15059,UNIVERSIDADE FEDERAL DO OESTE DO PARÁ,UFOPA,1,Pública,Universidade,PA,1.93,2
2013,1813,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARÁ",IFPA,1,Pública,"Instituto Federal de Educação, Ciência e Tecnologia",PA,1.86,2
2013,15507,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,1,Pública,"Instituto Federal de Educação, Ciência e Tecnologia",AC,1.68,2
2013,829,UNIVERSIDADE DO TOCANTINS,UNITINS,1,Pública,Universidade,TO,1.39,2
2013,240,UNIVERSIDADE SANTA ÚRSULA,USU,0,Privada,Universidade,RJ,1.12,2
2012,581,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,1,Pública,Universidade,RS,4.28,5
2012,592,UNIVERSIDADE FEDERAL DE LAVRAS,UFLA,1,Pública,Universidade,MG,4.23,5
2012,4925,FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC,UFABC,1,Pública,Universidade,SP,4.23,5
2012,54,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,1,Pública,Universidade,SP,4.18,5
2012,575,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,1,Pública,Universidade,MG,4.10,5
2012,597,UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,UFTM,1,Pública,Universidade,MG,4.04,5
2012,7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,1,Pública,Universidade,SP,4.03,5
2012,8,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,1,Pública,Universidade,MG,4.01,5
2012,717,FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE,UFCSPA,1,Pública,Universidade,RS,4.00,5
2012,585,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,1,Pública,Universidade,SC,3.93,4
2012,591,UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,1,Pública,Universidade,SP,3.93,4
2012,1027,UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO,UENF,1,Pública,Universidade,RJ,3.92,4
2012,2,UNIVERSIDADE DE BRASÍLIA,UNB,1,Pública,Universidade,DF,3.88,4
2012,586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,1,Pública,Universidade,RJ,3.84,4
2012,56,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,1,Pública,Universidade,SP,3.77,4
2012,528,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,0,Privada,Universidade,RJ,3.75,4
2012,582,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,1,Pública,Universidade,RS,3.74,4
2012,43,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,1,Pública,Universidade,SC,3.72,4
2012,570,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,1,Pública,Universidade,RN,3.68,4
2012,595,UNIVERSIDADE FEDERAL DE ALFENAS,UNIFAL-MG,1,Pública,Universidade,MG,3.68,4
2012,576,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,1,Pública,Universidade,MG,3.60,4
2012,584,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,1,Pública,Universidade,GO,3.59,4
2012,634,UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,1,Pública,Universidade,RS,3.57,4
2012,546,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,PUCSP,0,Privada,Universidade,SP,3.56,4
2012,9,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,1,Pública,Universidade,PR,3.56,4
2012,598,UNIVERSIDADE FEDERAL DE ITAJUBÁ - UNIFEI,UNIFEI,1,Pública,Universidade,MG,3.56,4
2012,588,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,UTFPR,1,Pública,Universidade,PR,3.55,4
2012,580,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,1,Pública,Universidade,PE,3.53,4
2012,21,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,0,Privada,Universidade,RS,3.53,4
2012,57,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,1,Pública,Universidade,PR,3.53,4
2012,571,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,1,Pública,Universidade,PR,3.53,4
2012,583,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,1,Pública,Universidade,CE,3.52,4
2012,596,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,UFVJM,1,Pública,Universidade,MG,3.51,4
2012,14,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,0,Privada,Universidade,RS,3.50,4
2012,4504,FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,UFGD,1,Pública,Universidade,MS,3.50,4
2012,17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,1,Pública,Universidade,MG,3.50,4
2012,2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,1,Pública,Universidade,PB,3.50,4
2012,609,UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ,UNIOESTE,1,Pública,Universidade,PR,3.48,4
2012,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,1,Pública,Universidade,MG,3.43,4
2012,574,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,1,Pública,Universidade,RJ,3.40,4
2012,107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,1,Pública,Universidade,MG,3.40,4
2012,3336,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,UERGS,1,Pública,Universidade,RS,3.39,4
2012,693,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,1,Pública,Universidade,RJ,3.38,4
2012,579,UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,1,Pública,Universidade,PB,3.37,4
2012,730,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,UEPG,1,Pública,Universidade,PR,3.36,4
2012,578,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,1,Pública,Universidade,BA,3.35,4
2012,322,UNIVERSIDADE PAULISTA,UNIP,0,Privada,Universidade,SP,3.33,4
2012,1126,UNIVERSIDADE ESTADUAL DO CENTRO OESTE,UNICENTRO,1,Pública,Universidade,PR,3.32,4
2012,572,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,1,Pública,Universidade,RJ,3.30,4
2012,5322,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA,UNIPAMPA,1,Pública,Universidade,RS,3.27,4
2012,589,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,UFERSA,1,Pública,Universidade,RN,3.22,4
2012,165,UNIVERSIDADE VEIGA DE ALMEIDA,UVA,0,Privada,Universidade,RJ,3.19,4
2012,23,UNIVERSIDADE FEEVALE,FEEVALE,0,Privada,Universidade,RS,3.19,4
2012,295,UNIVERSIDADE DE SANTA CRUZ DO SUL,UNISC,0,Privada,Universidade,RS,3.14,4
2012,12,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,1,Pública,Universidade,RS,3.13,4
2012,137,UNIVERSIDADE DO SAGRADO CORAÇÃO,USC,0,Privada,Universidade,SP,3.11,4
2012,1042,UNIVERSIDADE POSITIVO,UP,0,Privada,Universidade,PR,3.11,4
2012,4503,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,UFRB,1,Pública,Universidade,BA,3.10,4
2012,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,1,Pública,Universidade,MT,3.10,4
2012,83,UNIVERSIDADE DO VALE DO ITAJAÍ,UNIVALI,0,Privada,Universidade,SC,3.09,4
2012,573,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,1,Pública,Universidade,ES,3.09,4
2012,587,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,1,Pública,Universidade,PE,3.09,4
2012,208,UNIVERSIDADE DE RIBEIRÃO PRETO,UNAERP,0,Privada,Universidade,SP,3.07,4
2012,532,UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL,UNIJUI,0,Privada,Universidade,RS,3.06,4
2012,694,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,1,Pública,Universidade,MS,3.05,4
2012,18,UNIVERSIDADE CATÓLICA DE PELOTAS,UCPEL,0,Privada,Universidade,RS,3.05,4
2012,221,UNIVERSIDADE CRUZEIRO DO SUL,UNICSUL,0,Privada,Universidade,SP,3.04,4
2012,590,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,UFRA,1,Pública,Universidade,PA,3.03,4
2012,20,UNIVERSIDADE DE PASSO FUNDO,UPF,0,Privada,Universidade,RS,3.01,4
2012,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,1,Pública,Universidade,SE,3.00,4
2012,547,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,1,Pública,Universidade,RJ,2.99,4
2012,952,UNIVERSIDADE SANTA CECÍLIA,UNISANTA,0,Privada,Universidade,SP,2.97,4
2012,24,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,UESC,1,Pública,Universidade,BA,2.97,4
2012,420,UNIVERSIDADE DE MARÍLIA,UNIMAR,0,Privada,Universidade,SP,2.97,4
2012,3849,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,UFT,1,Pública,Universidade,TO,2.94,3
2012,569,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,1,Pública,Universidade,PA,2.93,3
2012,13,UNIVERSIDADE DE CAXIAS DO SUL,UCS,0,Privada,Universidade,RS,2.92,3
2012,271,UNIVERSIDADE DO OESTE PAULISTA,UNOESTE,0,Privada,Universidade,SP,2.91,3
2012,789,UNIVERSIDADE FEDERAL DE RORAIMA,UFRR,1,Pública,Universidade,RR,2.90,3
2012,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,1,Pública,Universidade,PI,2.90,3
2012,227,UNIVERSIDADE CATÓLICA DE SANTOS,UNISANTOS,0,Privada,Universidade,SP,2.89,3
2012,367,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,1,Pública,Universidade,MG,2.87,3
2012,466,UNIVERSIDADE ANHEMBI MORUMBI,UAM,0,Privada,Universidade,SP,2.86,3
2012,316,UNIVERSIDADE NOVE DE JULHO,UNINOVE,0,Privada,Universidade,SP,2.86,3
2012,577,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,1,Pública,Universidade,AL,2.85,3
2012,664,UNIVERSIDADE VILA VELHA,UVV,0,Privada,Universidade,ES,2.84,3
2012,338,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PUC MINAS,0,Privada,Universidade,MG,2.84,3
2012,548,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,1,Pública,Universidade,MA,2.83,3
